site,date,name,pick,position,type,url
Fox Sports - Kurtenbach,2017-04-29,Kevin Toliver,15,CB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Minkah Fitzpatrick,16,S,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Bradley Chubb,17,DE,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Quenton Nelson,18,G,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Derrius Guice,19,RB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Jaire Alexander,20,CB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Courtland Sutton,21,WR,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Christian Kirk,22,WR,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Jordan Whitehead,23,S,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Connor Williams,24,OT,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Calvin Ridley,25,WR,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Daylon Mack,26,DT,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Bo Scarbrough,27,RB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Da'Ron Payne,28,DT,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Martez Ivey,29,OT,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Harold Landry,30,LB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Mitch Hyatt,31,OT,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Nick Chubb,32,RB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Malik Jefferson,33,LB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,James Washington,34,WR,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Parris Campbell,35,WR,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Antonio Callaway,36,WR,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Jerry Tillery,37,DT,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Josh Sweat,38,DE,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,D.J. Chark,39,WR,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Vita Vea,40,DT,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Riley Ferguson,41,QB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Iman Marshall,42,CB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Micah Kiser,43,LB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Dante Booker,44,LB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Cam Smith,45,LB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Will Clapp,46,C,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Brock Ruble,47,OT,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Adonis Alexander,48,CB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Mason Rudolph,49,QB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Byron Cowart,50,DT,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Jamar Summers,51,CB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Billy Price,52,C,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Jordan Thomas (OU),53,CB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Maurice Hurst,54,DT,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Duke Ejiofor,55,DE,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Ronnie Harrison,56,S,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Ronald Jones,57,RB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Darren Carrington,58,WR,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Rashaan Evans,59,LB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Porter Gustin,60,LB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Lorenzo Carter,61,LB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Tyrell Crosby,62,OT,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Skai Moore,63,LB,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Fox Sports - Kurtenbach,2017-04-29,Frank Ragnow,64,C,Media,https://www.foxsports.com/nfl/gallery/2018-nfl-mock-draft-the-way-too-early-two-round-projection-042917/
Pacific Takes - Follman,2017-04-30,Sam Darnold,1,QB,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Josh Rosen,2,QB,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Christian Kirk,3,WR,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Josh Allen (WYO),4,QB,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Arden Key,5,DE,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Mike McGlinchey,6,OT,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Lamar Jackson (LOU),7,QB,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Calvin Ridley,8,WR,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Sam Hubbard,9,DE,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Christian Wilkins,10,DT,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Minkah Fitzpatrick,11,S,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Tarvarus McFadden,12,CB,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Saquon Barkley,13,RB,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Courtland Sutton,14,WR,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Parris Campbell,15,WR,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Derwin James,16,S,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Mitch Hyatt,17,OT,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Malik Jefferson,18,LB,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Bradley Chubb,19,DE,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Quenton Nelson,20,G,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Cam Smith,21,LB,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Bo Scarbrough,22,RB,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,James Washington,23,WR,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Jordan Whitehead,24,S,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Harold Landry,25,LB,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Martinas Rankin,26,OT,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Martez Ivey,27,OT,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Tyquan Lewis,28,DE,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Vita Vea,29,DT,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Da'Ron Payne,30,DT,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Antonio Callaway,31,WR,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
Pacific Takes - Follman,2017-04-30,Derrius Guice,32,RB,Fan,https://www.pacifictakes.com/2017/4/30/15478216/2018-nfl-mock-draft-pac-12-perspective-first-look-at-2018-and-pac-12-prospects/
New NFL Draft - Justin,2017-05-01,Sam Darnold,1,QB,Fan,http://newnfldraft.com/justins-2018-nfl-mock-draft/
New NFL Draft - Justin,2017-05-01,Josh Rosen,2,QB,Fan,http://newnfldraft.com/justins-2018-nfl-mock-draft/
New NFL Draft - Justin,2017-05-01,Saquon Barkley,3,RB,Fan,http://newnfldraft.com/justins-2018-nfl-mock-draft/
New NFL Draft - Justin,2017-05-01,Derwin James,4,S,Fan,http://newnfldraft.com/justins-2018-nfl-mock-draft/
New NFL Draft - Justin,2017-05-01,Josh Allen (WYO),5,QB,Fan,http://newnfldraft.com/justins-2018-nfl-mock-draft/
New NFL Draft - Justin,2017-05-01,Arden Key,6,DE,Fan,http://newnfldraft.com/justins-2018-nfl-mock-draft/
New NFL Draft - Justin,2017-05-01,Christian Kirk,7,WR,Fan,http://newnfldraft.com/justins-2018-nfl-mock-draft/
New NFL Draft - Justin,2017-05-01,Mike McGlinchey,8,OT,Fan,http://newnfldraft.com/justins-2018-nfl-mock-draft/
New NFL Draft - Justin,2017-05-01,Christian Wilkins,9,DT,Fan,http://newnfldraft.com/justins-2018-nfl-mock-draft/
New NFL Draft - Justin,2017-05-01,Bradley Chubb,10,DE,Fan,http://newnfldraft.com/justins-2018-nfl-mock-draft/
Walter Football - Christiano,2017-05-06,Sam Darnold,1,QB,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Derwin James,2,S,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Courtland Sutton,3,WR,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Connor Williams,4,OT,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Josh Rosen,5,QB,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Christian Wilkins,6,DT,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Mike McGlinchey,7,OT,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Bradley Chubb,8,DE,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Arden Key,9,DE,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Minkah Fitzpatrick,10,S,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Saquon Barkley,11,RB,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Harold Landry,12,LB,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Calvin Ridley,13,WR,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Quenton Nelson,14,G,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Josh Allen (WYO),15,QB,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Bo Scarbrough,16,RB,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Tarvarus McFadden,17,CB,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Christian Kirk,18,WR,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,James Washington,19,WR,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Jordan Thomas (OU),20,CB,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Vita Vea,21,DT,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Frank Ragnow,22,C,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Mitch Hyatt,23,OT,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Derrius Guice,24,RB,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Mason Rudolph,25,QB,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Orlando Brown,26,OT,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Derrick Nnadi,27,DT,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Adonis Alexander,28,CB,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Jordan Whitehead,29,S,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Malik Jefferson,30,LB,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Martinas Rankin,31,OT,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Christiano,2017-05-06,Cam Smith,32,LB,Fan,http://walterfootball.com/mocks/publishedmock/63138/
Walter Football - Giantsx4Rings,2017-05-07,Christian Kirk,1,WR,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Minkah Fitzpatrick,2,S,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Calvin Ridley,3,WR,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Sam Darnold,4,QB,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Josh Rosen,5,QB,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Tarvarus McFadden,6,CB,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Saquon Barkley,7,RB,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Mike McGlinchey,8,OT,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Arden Key,9,DE,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Derwin James,10,S,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Josh Allen (WYO),11,QB,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Lamar Jackson (LOU),12,QB,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Sam Hubbard,13,DE,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Courtland Sutton,14,WR,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Malik Jefferson,15,LB,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Mitch Hyatt,16,OT,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Da'Ron Payne,17,DT,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Antonio Callaway,18,WR,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Martinas Rankin,19,OT,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Jordan Whitehead,20,S,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Quenton Nelson,21,G,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Adonis Alexander,22,CB,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Bo Scarbrough,23,RB,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Bradley Chubb,24,DE,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Armani Watts,25,S,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Harold Landry,26,LB,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Parris Campbell,27,WR,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Jordan Thomas (OU),28,CB,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Billy Price,29,C,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Derrius Guice,30,RB,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Orlando Brown,31,OT,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Giantsx4Rings,2017-05-07,Luke Falk,32,QB,Fan,http://walterfootball.com/mocks/publishedmock/63140/
Walter Football - Drewsports,2017-05-09,Sam Darnold,1,QB,Fan,http://walterfootball.com/mocks/publishedmock/63152/
Walter Football - Drewsports,2017-05-09,Arden Key,2,DE,Fan,http://walterfootball.com/mocks/publishedmock/63152/
Walter Football - Drewsports,2017-05-09,Derwin James,3,S,Fan,http://walterfootball.com/mocks/publishedmock/63152/
Walter Football - Drewsports,2017-05-09,Josh Allen (WYO),4,QB,Fan,http://walterfootball.com/mocks/publishedmock/63152/
